;Scenario_1;Scenario_2;Scenario_3;Scenario_4a;Scenario_4b;Scenario_5;Scenario_7;Scenario_8;Scenario_9;Scenario_10;Scenario_11;Scenario_12;Scenario_13
Scenario_1;1.0;0,912145;0,7505358;0,7152199;0,7150692;0,7507963;0,6597428;0,6597428;0,63102925;0,6310092;0,6310092;0,6310092;0,60318637
Scenario_2;;1;0,8130747;0,77408004;0,77392936;0,81336653;0,7111254;0,7111254;0,67830503;0,67828506;0,67828506;0,67828506;0,64788145
Scenario_3;;;1;0,9485995;0,94880503;0,9995801;0,86188257;0,86055815;0,8150017;0,8149739;0,8149739;0,8149739;0,77601725
Scenario_4a;;;;1;0,99576586;0,94820434;0,89461774;0,8932934;0,84654754;0,8465197;0,8465197;0,8465197;0,8089521
Scenario_4b;;;;;1;0,94840986;0,8947879;0,8934635;0,8467059;0,8466781;0,8466781;0,8466781;0,8088977
Scenario_5;;;;;;1;0,8616071;0,8602828;0,81476057;0,8147327;0,8147327;0,8147327;0,77578753
Scenario_7;;;;;;;1;0,9986089;0,9448029;0,9447751;0,9447751;0,9447751;0,8841394
Scenario_8;;;;;;;;1;0,9455213;0,9454936;0,9454936;0,9454936;0,88482374
Scenario_9;;;;;;;;;1;0,990735;0,99082047;0,99082047;0,9266318
Scenario_10;;;;;;;;;;1;0,9985744;0,99777436;0,9332546
Scenario_11;;;;;;;;;;;1;0,99908686;0,9345046
Scenario_12;;;;;;;;;;;;1;0,9353742
Scenario_13;;;;;;;;;;;;;1
;;;;;;;;;;;;;
;Scenario_1;Scenario_2;Scenario_3;Scenario_4a;Scenario_4b;Scenario_5;Scenario_7;Scenario_8;Scenario_9;Scenario_10;Scenario_11;Scenario_12;Scenario_13
Scenario_1;1.0;91,21;75,05;71,52;71,51;75,08;65,97;65,97;63,1;63,1;63,1;63,1;60,32
Scenario_2;;100;81,31;77,41;77,39;81,34;71,11;71,11;67,83;67,83;67,83;67,83;64,79
Scenario_3;;0;100;94,86;94,88;99,96;86,19;86,06;81,5;81,5;81,5;81,5;77,6
Scenario_4a;;0;0;100;99,58;94,82;89,46;89,33;84,65;84,65;84,65;84,65;80,9
Scenario_4b;;0;0;0;100;94,84;89,48;89,35;84,67;84,67;84,67;84,67;80,89
Scenario_5;;0;0;0;0;100;86,16;86,03;81,48;81,47;81,47;81,47;77,58
Scenario_7;;0;0;0;0;0;100;99,86;94,48;94,48;94,48;94,48;88,41
Scenario_8;;0;0;0;0;0;0;100;94,55;94,55;94,55;94,55;88,48
Scenario_9;;0;0;0;0;0;0;0;100;99,07;99,08;99,08;92,66
Scenario_10;;0;0;0;0;0;0;0;0;100;99,86;99,78;93,33
Scenario_11;;0;0;0;0;0;0;0;0;0;100;99,91;93,45
Scenario_12;;0;0;0;0;0;0;0;0;0;0;100;93,54
Scenario_13;;;;;;;;;;;;;1
