;Scenario_1;Scenario_2;Scenario_3;Scenario_4a;Scenario_4b;Scenario_5;Scenario_7;Scenario_8;Scenario_9;Scenario_10;Scenario_11;Scenario_12;Scenario_13
Scenario_1;1;0,92281544;0,7697047;0,7334162;0,73316747;0,7699614;0,6774202;0,6774202;0,6495415;0,64952296;0,64952296;0,64952296;0,61753595
Scenario_2;;1;0,82759947;0,7879054;0,78765666;0,82788694;0,72553533;0,72553533;0,6943764;0,6943579;0,6943579;0,6943579;0,6600617
Scenario_3;;;1;0,94879997;0,94890755;0,99957585;0,8675901;0,86628515;0,8250451;0,82501924;0,82501924;0,82501924;0,78205585
Scenario_4a;;;;1;0,9959664;0,9484008;0,8913681;0,89006317;0,8480342;0,84800833;0,84800833;0,84800833;0,8069216
Scenario_4b;;;;;1;0,9485084;0,89146435;0,89015937;0,848137;0,8481113;0,8481113;0,8481113;0,80599225
Scenario_5;;;;;;1;0,8673227;0,8660177;0,8248141;0,8247882;0,8247882;0,8247882;0,78183585
Scenario_7;;;;;;;1;0,9986311;0,95023525;0,95020944;0,95020944;0,95020944;0,9011104
Scenario_8;;;;;;;;1;0,95093256;0,95090675;0,95090675;0,95090675;0,9017745
Scenario_9;;;;;;;;;1;0,99077696;0,9908782;0,9908782;0,9385798
Scenario_10;;;;;;;;;;1;0,99869287;0,99798906;0,945352
Scenario_11;;;;;;;;;;;1;0,99921554;0,94652015
Scenario_12;;;;;;;;;;;;1;0,94726723
Scenario_13;;;;;;;;;;;;;1
;;;;;;;;;;;;;
;Scenario_1;Scenario_2;Scenario_3;Scenario_4a;Scenario_4b;Scenario_5;Scenario_7;Scenario_8;Scenario_9;Scenario_10;Scenario_11;Scenario_12;Scenario_13
Scenario_1;1.0;92,28;76,97;73,34;73,32;77;67,74;67,74;64,95;64,95;64,95;64,95;61,75
Scenario_2;;100;82,76;78,79;78,77;82,79;72,55;72,55;69,44;69,44;69,44;69,44;66,01
Scenario_3;;0;100;94,88;94,89;99,96;86,76;86,63;82,5;82,5;82,5;82,5;78,21
Scenario_4a;;0;0;100;99,6;94,84;89,14;89,01;84,8;84,8;84,8;84,8;80,69
Scenario_4b;;0;0;0;100;94,85;89,15;89,02;84,81;84,81;84,81;84,81;80,6
Scenario_5;;0;0;0;0;100;86,73;86,6;82,48;82,48;82,48;82,48;78,18
Scenario_7;;0;0;0;0;0;100;99,86;95,02;95,02;95,02;95,02;90,11
Scenario_8;;0;0;0;0;0;0;100;95,09;95,09;95,09;95,09;90,18
Scenario_9;;0;0;0;0;0;0;0;100;99,08;99,09;99,09;93,86
Scenario_10;;0;0;0;0;0;0;0;0;100;99,87;99,8;94,54
Scenario_11;;0;0;0;0;0;0;0;0;0;100;99,92;94,65
Scenario_12;;0;0;0;0;0;0;0;0;0;0;100;94,73
Scenario_13;;0;0;0;0;0;0;0;0;0;0;0;100
