;Scenario_14;Scenario_15;Scenario_16;Scenario_17;Scenario_18;Scenario_19;Scenario_20;Scenario21;Scenario23;Scenario24
Scenario_14;1;0,7832633;0,72404104;0,689028;0,6758487;0,6543296;0,5544675;0,52170986;0,514629;0,51087147
Scenario_15;;1;0,9143296;0,8653997;0,84815156;0,811529;0,6779606;0,63605213;0,6264153;0,6221818
Scenario_16;;;1;0,9451282;0,9257313;0,882247;0,7334286;0,6863328;0,6756029;0,6713693
Scenario_17;;;;1;0,9717519;0,9173051;0,76072246;0,7117701;0,70048726;0,69625366
Scenario_18;;;;;1;0,9386681;0,77750075;0,72740716;0,7157844;0,7115508
Scenario_19;;;;;;1;0,8256353;0,77196705;0,75936264;0,75401855
Scenario_20;;;;;;;1;0,9364139;0,92023456;0,9148723
Scenario21;;;;;;;;1;0,9820231;0,96455944
Scenario23;;;;;;;;;1;0,96695536
Scenario24;;;;;;;;;;1
;;;;;;;;;;
;;;;;;;;;;
;Scenario_14;Scenario_15;Scenario_16;Scenario_17;Scenario_18;Scenario_19;Scenario_20;Scenario21;Scenario23;Scenario24
Scenario_14;1.0;78,33;72,4;68,9;67,58;65,43;55,45;52,17;51,46;51,09
Scenario_15;;100;91,43;86,54;84,82;81,15;67,8;63,61;62,64;62,22
Scenario_16;;0;100;94,51;92,57;88,22;73,34;68,63;67,56;67,14
Scenario_17;;0;0;100;97,18;91,73;76,07;71,18;70,05;69,63
Scenario_18;;0;0;0;100;93,87;77,75;72,74;71,58;71,16
Scenario_19;;0;0;0;0;100;82,56;77,2;75,94;75,4
Scenario_20;;0;0;0;0;0;100;93,64;92,02;91,49
Scenario21;;0;0;0;0;0;0;100;98,2;96,46
Scenario23;;0;0;0;0;0;0;0;100;96,7
Scenario24;;0;0;0;0;0;0;0;0;100
