;Scenario_14;Scenario_15;Scenario_16;Scenario_17;Scenario_18;Scenario_19;Scenario_20;Scenario21;Scenario23;Scenario24
Scenario_14;1;0,7976057;0,73716885;0,7033056;0,6878136;0,6767553;0,57069415;0,53681785;0,52940863;0,52476376
Scenario_15;;1;0,91636866;0,8707417;0,85009724;0,8306145;0,6915629;0,64871377;0,63880175;0,6338602
Scenario_16;;;1;0,9488653;0,92582923;0,90302163;0,7483657;0,7002411;0,6892089;0,6842674
Scenario_17;;;;1;0,9753906;0,9473204;0,78292;0,7324554;0,7207229;0,71578133
Scenario_18;;;;;1;0,96815306;0,79928166;0,7477046;0,7356406;0,730699
Scenario_19;;;;;;1;0,8242494;0,7706482;0,7580725;0,75182915
Scenario_20;;;;;;;1;0,936424;0,92024446;0,9140011
Scenario21;;;;;;;;1;0,9823709;0,97270876
Scenario23;;;;;;;;;1;0,9821176
Scenario24;;;;;;;;;;1
;;;;;;;;;;
;;;;;;;;;;
;Scenario_14;Scenario_15;Scenario_16;Scenario_17;Scenario_18;Scenario_19;Scenario_20;Scenario21;Scenario23;Scenario24
Scenario_14;1.0;79,76;73,72;70,33;68,78;67,68;57,07;53,68;52,94;52,48
Scenario_15;;100;91,64;87,07;85,01;83,06;69,16;64,87;63,88;63,39
Scenario_16;;0;100;94,89;92,58;90,3;74,84;70,02;68,92;68,43
Scenario_17;;0;0;100;97,54;94,73;78,29;73,25;72,07;71,58
Scenario_18;;0;0;0;100;96,82;79,93;74,77;73,56;73,07
Scenario_19;;0;0;0;0;100;82,42;77,06;75,81;75,18
Scenario_20;;0;0;0;0;0;100;93,64;92,02;91,4
Scenario21;;0;0;0;0;0;0;100;98,24;97,27
Scenario23;;0;0;0;0;0;0;0;100;98,21
Scenario24;;0;0;0;0;0;0;0;0;100
