;MAIN;BistableCylinder;InductiveSensor;MicroSwitch;MonostableCylinder;Motor;OperationPanel;OpticalSensor;PresenceSensor;PressureSensor;ProportionalValve;TurningTable;VacuumGripper;VacuumSwitch;Valve;WeightModule;Crane;LargeSortingConveyor;Stack;Stamp;xPPU;
MAIN;1.0;;;;;;;;;;;;;;;;;;;;;
BistableCylinder;;1.0;;;0.92722225;;;;;;;;;;;;;;;;;
InductiveSensor;;;1.0;0.7497436;;;;0.8317949;0.84717953;0.71555555;;;;0.7574359;;;;;;;;
MicroSwitch;;;;1.0;;;;0.77692306;0.7373626;;;;;0.8397436;;;;;;;;
MonostableCylinder;;;;;1.0;;;;;;;;;;;;;;;;;
Motor;;;;;;1.0;;;;;;;;;;;;;;;;
OperationPanel;;;;;;;1.0;;;;;;;;;;;;;;;
OpticalSensor;;;;;;;;1.0;0.8318682;0.70238096;;;;0.7453846;;;;;;;;
PresenceSensor;;;;;;;;;1.0;0.78492063;;;;0.74505496;;;;;;;;
PressureSensor;;;;;;;;;;1.0;;;;;;0.7420635;;;;;;
ProportionalValve;;;;;;;;;;;1.0;;;;;;;;;;;
TurningTable;;;;;;;;;;;;1.0;;;;;;;;;;
VacuumGripper;;;;;;;;;;;;;1.0;;;;;;;;;
VacuumSwitch;;;;;;;;;;;;;;1.0;;;;;;;;
Valve;;;;;;;;;;;;;;;1.0;;;;;;;
WeightModule;;;;;;;;;;;;;;;;1.0;;;;;;
Crane;;;;;;;;;;;;;;;;;1.0;;;;;
LargeSortingConveyor;;;;;;;;;;;;;;;;;;1.0;;;;
Stack;;;;;;;;;;;;;;;;;;;1.0;;;
Stamp;;;;;;;;;;;;;;;;;;;;1.0;;
xPPU;;;;;;;;;;;;;;;;;;;;;1.0;
